,class,language,question
1706,PERSON,es,¿Cuál es el verdadero nombre de la Madre Teresa?
1707,PERSON,en,What was Mother Theresa's real name?
1708,PERSON,nl,Welke Amerikaanse fysicus stelde het bestaan van quarks voor?
1709,PERSON,it,Quale fisico americano ipotizzò l'esistenza dei quark?
1710,PERSON,es,¿Qué físico estadounidense propuso la existencia de los quarks?
1711,PERSON,en,Which American physicist proposed the existence of quarks?
1712,OBJECT,nl,Noem een product dat in China wordt nagemaakt.
1713,OBJECT,it,Nomina un prodotto che viene contraffatto in Cina.
1714,OBJECT,es,Dar el nombre de un producto que se falsifique en China.
1715,OBJECT,en,Name a product that is being counterfeited in China.
1716,DATE,nl,Wanneer overleed Marilyn Monroe?
1717,DATE,it,Quando morì Marilyn Monroe?
1718,DATE,es,¿Cuándo murió Marilyn Monroe?
1719,DATE,en,When did Marilyn Monroe die?
1720,MEASURE,nl,Hoeveel verslaafden aan harddrugs heeft Nederland?
1721,MEASURE,it,Quanti tossicodipendenti ci sono nei Paesi Bassi?
1722,MEASURE,es,¿Cuántas personas en Holanda son adictas a las drugas duras?
1723,MEASURE,en,How many people in the Netherlands are addicted to hard drugs?
1724,DATE,nl,Wanneer vonden de Olympische Spelen in Moskou plaats?
1725,DATE,it,Quando si sono svolte le Olimpiadi a Mosca?
1726,DATE,es,¿Cuándo se celebraron las olimpiadas de Moscú?
1727,DATE,en,When did the Olympics take place in Moscow?
1728,OBJECT,nl,Welke munteenheid heeft men in Rusland?
1729,OBJECT,it,Quale moneta si usa in Russia?
1730,OBJECT,es,¿Cuál es la moneda de Rusia?
1731,OBJECT,en,Which currency do they have in Russia?
1732,MEASURE,nl,Hoe vaak is Ajax kampioen van Nederland geweest?
1733,MEASURE,it,Quante volte l'Ajax è stato campione dei Pesi Bassi?
1734,MEASURE,es,¿Cuántas veces el Ajax ha sido campeón de la liga holandesa?
1735,MEASURE,en,How often has Ajax been champion of the Netherlands?
1736,PERSON,nl,Wie is de grote liefde van prins Charles?
1737,PERSON,it,Chi è il grande amore del Principe Carlo?
1738,PERSON,es,¿Quién es el gran amor del príncipe Carlos?
1739,PERSON,en,Who is Prince Charles' great love?
1740,MEASURE,nl,Hoeveel kernproeven heeft Frankrijk sinds 1960 genomen?
1741,MEASURE,it,Quanti test nucleari ha effettuato la Francia dal 1960?
1742,MEASURE,es,¿Cuántos ensayos nucleares ha llevado a cabo Francia desde 1960?
1743,MEASURE,en,How many nuclear tests has France carried out since 1960?
1744,OBJECT,nl,Wat is laquado?
1745,OBJECT,it,Che cosa è il laquado?
1746,OBJECT,es,"¿Qué es el ""laquado""?"
1747,OBJECT,en,What is laquado?
1748,MEASURE,nl,"Hoe lang bestaat de America's Cup, het meest prestigieuze zeilevenement?"
1749,MEASURE,it,"Quanti anni ha la Coppa America, la gara di vela più prestigiosa al mondo?"
1750,MEASURE,es,"¿Qué antigüedad tiene la Copa América, la regata más prestigiosa del mundo?"
1751,MEASURE,en,"How old is the America's Cup, the world's most prestigious sailing event?"
1752,OTHER,nl,Met welke andere film deelde The Piano van Jane Campion de Gouden Palm op het filmfestival van Cannes?
1753,OTHER,it,"Con quale altro film ""Lezioni di Piano"" di Jane Champion ha diviso la Palma d'oro al Festival di Cannes?"
1754,OTHER,es,"¿Con qué otra película compartió ""El Piano"" (Jane Campion) la Palma de Oro en el festival de cine de Cannes?"
1755,OTHER,en,With which other film did The Piano (Jane Campion) share the Golden Palm at the Cannes Film Festival?
1756,OTHER,nl,Welke taal spreken de Berbers?
1757,OTHER,it,Quale lingua parlano i Berberi?
1758,OTHER,es,¿Qué lengua hablan los bereberes?
1759,OTHER,en,What language do the Berbers speak?
1760,ORGANIZATION,nl,Hoe heet de maatschappij die de spoortunnel onder het Kanaal exploiteert?
1761,ORGANIZATION,it,Quale compagnia sfrutta il tunnel ferroviario sotto il Canale della Manica?
1762,ORGANIZATION,es,¿Qué compañía explota el túnel de ferrocarril bajo el Canal de la Mancha?
1763,ORGANIZATION,en,Which company exploits the railway tunnel under the Channel?
1764,PERSON,nl,Wie was chief executive officer van IBM van 1956 tot 1971?
1765,PERSON,it,Chi è stato il dirigente dell'IBM tra il 1956 e il 1971?
1766,PERSON,es,¿Quién fue el presidente de IBM entre 1956 y 1971?
1767,PERSON,en,Who was IBM's chief executive officer between 1956 and 1971?
1768,PERSON,nl,Welke Amerikaanse wiskundige bewees de Stelling van Fermat?
1769,PERSON,it,Quale matematico americano ha dimostrato il teorema di Fermat?
1770,PERSON,es,¿Qué matemático probó el teorema de Fermat?
1771,PERSON,en,Which American mathematician proved Fermat's Theorem?
1772,ORGANIZATION,nl,Hoe heet de voormalige Albanese geheime dienst?
1773,ORGANIZATION,it,Come si chiama l'ex-servizio segreto dell'Albania?
1774,ORGANIZATION,es,¿Cómo se llama la antigua policía secreta de Albania?
1775,ORGANIZATION,en,What is Albania's former secret service called?
1776,PERSON,nl,Welke tennisspeelster werd op 30 april 1993 met een mes in de rug gestoken?
1777,PERSON,it,Quale giocatrice di tennis è stata accoltellata alla schiena il 30 aprile 1993?
1778,PERSON,es,¿Qué tenista femenina fue apuñalada con un cuchillo en la espalda el 30 de abril de 1993?
1779,PERSON,en,"Which female tennis player was stabbed in the back with a knife on April 30, 1993?"
1780,LOCATION,nl,"In welk land kreeg Mengistu Haile Mariam, de afgezette Ethiopische dictator, politiek asiel?"
1781,LOCATION,it,"Quale paese ha garantito asilo politico a Mengistu Haile Mariam, l'ex dittatore dell'Etiopia?"
1782,LOCATION,es,"¿Qué país proporcionó asilo político a Mengistu Haile Mariam, antiguo dictador etíope?"
1783,LOCATION,en,"Which country granted political asylum to Mengistu Haile Mariam, the former Ethiopian dictator?"
1784,LOCATION,nl,Wat is de Amserikaanse staat met de strengste milieuwetten?
1785,LOCATION,it,Quale Stato americano ha le leggi più severe in materia ambientale?
1786,LOCATION,es,¿Qué estado estadounidense tiene las leyes de medio ambiente más estrictas?
1787,LOCATION,en,Which American state has the strictest environmental laws?
1788,MEASURE,nl,Hoeveel militairen heeft Noord-Korea?
1789,MEASURE,it,Quanti militari ha la Corea del Nord?
1790,MEASURE,es,¿Cuántos militares tiene Corea del Norte?
1791,MEASURE,en,How many military does North Korea have?
1792,MEASURE,nl,"Hoe diep is Challenger Deep, het diepste punt van de aarde?"
1793,MEASURE,it,"Quanto è profondo il Challenger Deep, il luogo più profondo al mondo?"
1794,MEASURE,es,"¿Qué profundidad tiene Challenger Deep, el lugar más profundo de la Tierra?"
1795,MEASURE,en,"How deep is Challenger Deep, the world's deepest place?"
1796,PERSON,nl,Wie is directeur-generaal van de IAEA?
1797,PERSON,it,Chi è il direttore generale dell'AIEA?
1798,PERSON,es,¿Quién es el director general de la OIEA?
1799,PERSON,en,Who is director general of IAEA?
